id	screen_name	followers_count
150460530	AbeBarroso	271
213945941	Abenaa46	423
2559926820	Chollybear	1704
772601706	AbiRatchford	373773
19307455	abigailwashburn	12688
10476272	Abs_NBC	548
593342183	a_b_s_official	13232
289368240	AbioticFL	3958
17916063	abishauhl	6719
205847812	Abkwarrior	20981
2270841	ABNAMRO	65990
19564048	abortedmetal	26764
37258842	AboutAMile	11735
21086501	aboveandbeyond	532516
21086501	aboveandbeyond	532516
3221678684	aboveexhibition	6361
22783783	atlblog	119674
915130140	abra_moore	21
2737266562	abrahamybethy	135
314776266	AbrahamCalleros	1
314212016	ArtAbraham	12
110832117	AbrahamMcDonald	10990
52852284	Abrahammusic	26271
3383048602	AbsoulutelyAnna	712
129673065	Abstrac	414
22068206	abstractrude	8722
18777045	AbstractTruth	1545
104128722	Absynthe_Minded	3926
26020786	AbysmalDawn	4478
2836755090	acdc	216334
33659315	ACappellaNow	6294
19782104	HomeAccents2day	9064
142455605	accepttheband	49235
140644567	acceptanceband	9662
139328563	access_official	14010
87999843	sfdkrecords	18993
384701501	acdaendemunnik	9010
184986340	ACE0317	40069
200611375	AceLLENKingNOX	435
1381790894	FearLess_King3	82
55905534	ace_enders	15226
29319128	ace_frehley	165455
45926816	Cardiakflatline	47201
46232292	Ace_duece_juice	250
92811705	aceofbase	5626
216887490	aceofspadessac	7601
151119880	forxhiseyesonly	2180
2420421726	AceWilderMusic	1767
123631585	IAMACEYOUNG	14153
391764375	AceySlade1	4544
46700875	Aceyalone	7592
143360190	achimkel	36
171899513	achimopp	0
172672003	AchimPetry	146
361671673	TeamABCofficial	231000
3178011956	kafle619	793
2827141496	MARIAticAcid	600
362766847	ACIDMAN_staff	17337
230881682	AckerBilko	42
20356240	AlchemyAcoustic	41
17547305	ATFMinistryTeam	3446
44571430	IWC	124869
361564025	NikkiReed_I_Am	863668
2963562456	ActOfDefiance1	4355
130600206	Heritage_Action	23772
80706281	ActionBronson	289090
45374259	ActionItemBand	70356
507590654	TransparenciaSV	24589
142168899	ActiveChild	13055
143209272	ActressPatrice	27991
702859664397045760	adfinemgg	2362
61098978	AdRockWarrior	231
1880944086	DyerAda	12
331114375	Adagator06	46
538063613	yaoadaliu	36
317920989	AdaRayMartin	1022
56273476	thedanieladair	31162
415807826	BetoPailas	23673
23993915	adamxii	6182
27454855	adamagee	10903
3972406213	adam_ants	1
237369009	adamaofficial	55372
20639440	AdamBakerBCFC	6633
24214118	bedtimebonzob	428
90164691	mrban	571
49559414	adambrand	15156
18109413	djadam12	14882
16694598	AdamCappa	58725
10926202	adamcarolla	491385
83169642	AdamCarsonAFI	14970
79081772	realAdamClark	1193
485721980	Clayts15	45656
101157824	powelladamc	788
333615364	ThisIsAdamCohen	4691
80611107	adamcrabbmusic	12065
372969399	AdamCzeisler	32
312851645	RealDeitchBeats	11757
1293337358	doll5051	93
15065374	adamdonkin	103
714834655	IAmADAMDUCE	1519
79498149	theadamduritz	3270
1365561590	Adam_ksE12	534
45952641	adamellsegal	406
58328687	Pecos53	1426
325637990	adamjfalkner	1211
42390815	AFergusonPhoto	2849
93717442	damjerry	391
116528889	RKCMUSIC	441
14590841	Adam_Fisher	957
17019775	WHITERAINBOW	39129
17525468	Adam_Freeland	11135
16263130	AdamFreemer	1137
31159836	AdamGarbinski	459
388111644	wildanimas	198
52314106	ADAMGAYNOR	1162
