tweet_id	link	retweets
753374048814403585	https://t.co/ECv5A8Ihp5	1207217408:753480003380064256 136802437:753469332877774848 254869210:753409075891740672 994057237:753375781129101312 3835002135:753374863499358208 6224302:753374633592655874 2565391905:753374284555378692 24400841:753374225373597696 48244507:753374128955006976
753043640943915008	https://t.co/nF9S2YyuGz	
752904079018340352	https://t.co/n26Uri1sAs	254869210:753045573931036674 4628214565:752943350299242496 25048106:752918614534004736
752533090971549696	https://t.co/sAiOVsgIgi	19218617:752628320773152770 393186515:752617685926764544 2885295869:752543315698913280 41730664:752533272056336384
751232153745100800	https://t.co/IwozWqK7Jn	21526221:751560267239034880 2474673840:751471589602963456 2885295869:751265450294587395 2386991965:751246467080138752 961514226:751234429452849153 277065989:751232524731514880
750824852085321728	https://t.co/qJRBQzxFX8	
750191257704538112	https://t.co/3s4gUHvIlV	29548168:750198298946875392 1459952478:750191327799676928
750167068620693506	https://t.co/BOJjyXsNGE	
749996435345641472	https://t.co/8PtHm4hBen	31575939:750194940999790592 19218617:750079710269411328 3300391238:750022449031360512 4825047352:750011167838527492 1908510913:749996551200657408
749814845231423488	https://t.co/xVtAbFk9F0	
749795356775444480	https://t.co/Ak77rfcufp	393186515:749800111631249408
749693635596169217	https://t.co/ARpyQ2Hi9B	
749061602234626048	https://t.co/7MQOo9au53	
748766778004615168	https://t.co/uGXpsq3lCd	139591925:749752015224385537 56185712:749697112598720512 732774749118468097:749603240661037057 107283547:749370032983973888 1268047519:749020530326462465 348074957:748964639376076804 409542179:748857973296893952 957204830:748853073167220737 3300391238:748847844447006720 77254462:748845659206225920 144560080:748826732002619392 19218617:748786569977356289 4632999973:748783664029245443 2786206392:748783438669295616 2786165550:748783266912538625 136864102:748769705989513216 623202002:748767682397282305 254869210:748767603959566336
747997494047539200	https://t.co/uhW22eJcDK	139591925:749751976183799808 17889255:748609314210738176 266016481:748305073302831105 1032140648:748262650669203457 2183126004:748255738200395777 2473147002:748161876035403776 3319557757:748149964430204929 1668709519:748147037137408000 72668224:748118713522597888 391764375:748117811826921472 14759499:748116769378754561 59218409:748089333496881156 567535247:748085363265024000 19218617:748047848328073216 2844797366:748041592049700865 117022141:748036613775757312 20129531:748032482709233665
747631936961581061	https://t.co/Bs7d7NC5sB	254869210:747679496917094401 19218617:747635336092786688 2786206392:747633102080643072
747459634949160962	https://t.co/c0vZprkp2K	3704967436:748220386165284864 3300391238:747542447169773569 393186515:747510301860343810 19218617:747506015957049344 277065989:747463832788828160 860488770:747459953913266176
746409947383070720	https://t.co/ULwosw4fNC	1271924365:746420718238240769
