tweet_id	link	retweets
753390303634157568	https://t.co/gp6gmaExzu	
753380808824492032	https://t.co/n6Fng5cvtU	3167768104:753484194248953858 702652158408196096:753434060718952448 4161954554:753424018401746944 1880888064:753420560252694529 130983148:753417637363716096 1437521580:753414916757872644 710532004731875328:753414097601835008 1441781281:753407978418634752 749410137606004736:753402120796110848 3706049294:753402118199881728 1194225342:753400096931405824 1382841594:753398630120161280 4740674095:753397105759166464 4505685494:753390111648120832 3180890826:753388707600674816 929557519:753387919667236864 1336751089:753385571020529664 3613143381:753384501607272448 2826713225:753384322917367812 2920568931:753383005515898880
753375005107298304	https://t.co/cX7GCHJgFT	
753271817016479746	https://t.co/pBtmzKkbJL	2840841975:753411416351248384 271234451:753396781497614340 1336751089:753385597662703616 4922506034:753377334774738944 727918603652059138:753369091155501056 735140503293820928:753341855962574849 1382841594:753341848152776705 253190010:753311004801589248 68723212:753287834149191680 2497598291:753278803263295488 929557519:753277941040185344 2616136886:753277720230973440 750075278538440704:753277483932409856 2250996408:753276067633180672 3180890826:753273956627390464 33979846:753273636442648576 2241253228:753273343420276736 846514747:753272463539134464 1374711066:753271985619275776
753256126049767424	https://t.co/3RPvk1lZrL	
753242940915355648	https://t.co/dJ0l98btHW	4505685494:753359000586981376 2920568931:753297492591071232 3613143381:753266903838228480 749866119209508864:753256685955715072 929557519:753253812073357312 722871762493419520:753251017433620480 750075278538440704:753249381298626560 3073286199:753246789973647360 3224415825:753246307653914624 748919380877205504:753243652768473088 2241253228:753243496212008960
753017423968673792	https://t.co/fDddA2EFIQ	
752997949089652736	https://t.co/LHdZ1vi4Gz	614128014:753434796819374080 735140503293820928:753341942046466049 752177256420806656:753055845177446400 738400135659573248:753045168618627072 1189683392:753031248130543622 77354088:753019034434756608 33979846:753009715987095552 1526294689:753007031846440961 879181898:753002259672248320 929557519:753000541614145539 3179588875:752998896322940929 4395903497:752998384311689217 3073286199:752998215822217217 2945120553:752998072205053952 3706049294:752998026453590016 749410137606004736:752998026424291332
752968710441299969	https://t.co/sgiZlfgq	
752940716867715072	https://t.co/8w2Z8aJUWp	4505685494:753194729030856704 616783322:753026819188817927 1140643741:753007474937069568 2624388729:752998896830390272 735140503293820928:752974329986428928 3320025035:752964840876969984 4395903497:752949982135746561 4843151506:752948099828555777 3224415825:752946959623872513 3180890826:752945886905245696 929557519:752944210291163137 858827100:752943399531974656 1189683392:752943303641927680 712341323588706305:752943029003120640 43750378:752942344689688576 252418471:752941868833316864 3374735729:752941218578006020 2945120553:752940878528933893 751454259468722176:752940833352060928
752910872758976512	https://t.co/rkO0urs68o	1020228738:753431551744946176 316152535:753408937991540736 748939945910243328:753264300148465664 731395879039569920:753249040159088640 4505685494:753192727727120385 1531975513:753047583623217152 2579679241:753034566068150272 4827983885:753026911345995777 1140643741:753007494000181248 2381445319:753001510380777472 453462190:753000481115340800 2464779594:752997879002914816 721039400516190208:752997145171533824 2278257414:752991455166226432 762364958:752988530901516289 4881071054:752988130454671360 750075278538440704:752984087271440384 2421135019:752972507582529541 2557039222:752965940145303552
752648557811736576	https://t.co/7tlzZUthu6	
752608756219850752	https://t.co/PT2tC19VjH	180451513:753417351593275393 2996277965:753016217439444992 1059688616:752923039935844352 3673978332:752887556593684480 3360958876:752842324187545601 4505685494:752767981814288384 100502948:752759140066426880 2826713225:752757855967539200 2904673115:752754451476123648 2860572651:752752484356153344 735140503293820928:752747279161839616 722871762493419520:752745305376821248 706951806178332673:752736643925192704 746609631267430401:752727544919580672 2802581900:752705205398020096 556669964:752701713556115456 77354088:752695225856983040
