tweet_id	link	retweets
225217043811667968	http://t.co/SBrIOR8a	627712233:734354382595194880 2213736588:722715907928272900 4835315403:690977130927296512 3045707074:631986038609608704 2370082446:630701370920841216 2853322543:621189721251643392 2391808225:604749042837364737 3296836654:602541001534746624 2874715140:601762419673726976 857025548:588286150793506816 3031551878:568867800346787840 1083051776:564348037598703616 2729740618:540141906337202176 2753085876:533384603827200001 552254084:521946010130862080 2760795742:510807398672773120 203890304:499845245006123008
225217041760649217	http://t.co/tWLqjikm	2213736588:722715888512811008 2370082446:630701346476433408 2750504100:502224737289138177 2719381465:498149631126020096 2733054328:496731578752860160 1545440052:477476309694955521 2552948689:476051387684769793 203890304:454801332474359808 405066338:441356485902483456 2183863481:404776010690072576 1657515523:392188936048476160 177929163:370500664541343744 98282291:257326656472109057 175608957:230114856718700544 709146914:227052493840994304
225217039718039552	http://t.co/PCXF9jQx	2213736588:722715863900635136 2370082446:630701356387536896 405066338:441356521918959616 741475597:439088082172653568 1479554366:421225202656485376 1105977998:300777349446766592 98282291:257326930452430848 388170286:247374153764720640 709146914:227052601106104320
225217037629263872	http://t.co/KxCzfjp3	2213736588:722715766961868801 2370082446:630701362477723648 98282291:257326959116316672 68191515:238134774533873664
225217035578261504	http://t.co/RoLhhenE	2370082446:630701384493604864 1034398537:482493079778111488 98282291:257326973884444672
225217033674035200	http://t.co/g89U5S6m	3045707074:645540236546691073 2370082446:630701390898204672 98282291:289933753319579648
225217031581085697	http://t.co/yN2N1tln	2370082446:630701399274295296 203890304:455215023845949440
225217029580402689	http://t.co/YoOK7XYj	2370082446:630701404982743040
225217027655204864	http://t.co/ZrVdYnwj	2370082446:630701411261632512
225217025637752832	http://t.co/dhHna8So	2370082446:630701419734138880 98282291:289934366438748162
225130795914903554	http://t.co/pHlgD6mA	2370082446:630701425664856064
225130793893232642	http://t.co/FcVOOymT	2370082446:630701434556841984
225068566712549376	http://t.co/cyCUPMYG	2370082446:630701440080707584
225068564476985345	http://t.co/EUuFILcI	2370082446:630701448775499776 98282291:257327005647896576
225060014652530690	http://t.co/bXEq51JU	2370082446:630701458124591104
224958975555276801	http://t.co/qVolBxHt	2370082446:630701463421997056
224920854973255680	http://t.co/V07jHDEo	2370082446:630701470560747520
224920852423122945	http://t.co/675LOF5q	2370082446:630701479406534656 636120837:224921498127835136
224920850481164289	http://t.co/wf5oo1KS	2370082446:630701488462016512
224920848581148673	http://t.co/Gx7s4yd7	2370082446:630701505163710464
