tweet_id	link	retweets
753512948581138432	https://t.co/S00wHEoWFs	3039353937:753522763692933120 1516474021:753521674595737600 2234089099:753519952062132225 767299110:753519442584342529 4778442072:753518752549920768 3959357003:753517366458343424 594642001:753516938706489344 572247840:753516504168091648 1235008866:753516149715902464 722062363352911872:753515039458336768 544320239:753513822762242052 309350918:753513588585889792 4903204732:753513395824029696 4695333397:753513368296841216 2843474291:753513313569497088 506124781:753513257248382980 64413699:753513041677918208 1329298236:753512996899528704
753511072460660736	https://t.co/ecUzfE0lKC	866348234:753523489504686080 3039353937:753522373530443776 1516474021:753521710222245888 2234089099:753519934563454976 2225548261:753519731123027968 3306439937:753518900701192192 283441329:753518839615414272 4778442072:753518741938331648 3959357003:753517230982397952 2729808575:753516871752835072 181098845:753513321765011456 4695333397:753513295718518784 506124781:753513287745175552 767299110:753512838484799489 748442600840040448:753512632712306689 2455918632:753512522477506560 1527860232:753511554939838464 1329977514:753511537185259520 3335318453:753511309715599364
753413728616456193	https://t.co/YW7c8hsjP4	
753328771290263552	https://t.co/KJrZbPuSa0	32881153:753521336622940160 3306439937:753518910947876864 572247840:753516538762670080 745284197674278912:753503524516982784 1334701002:753500826186940416 1516474021:753497082259005440 64413699:753475200247889920 382099761:753469190544252929 3420692219:753424392231583744 529670689:753422267397369856 1056476881:753418432285028356 2234089099:753390195727228928 4778442072:753371212953235456 2942133731:753364963507462144 731490709765783552:753353022957350912 1684449338:753351942240407552 749222623062745088:753345910013325312 186132437:753335976991260673 4695333397:753335006299361280
753328369706598400	https://t.co/HWI	
753287125832007680	https://t.co/a4iCz5z8j4	795968252:753434751101378564 529670689:753422283851591680 2234089099:753390170712387584 4778442072:753371060058193920 3232743788:753346831506141184 4695333397:753335046820560896 701483506736742401:753334702006829058 235337314:753334124547444736 719210371165392898:753333962186031104 1516474021:753319888639393793 2226604789:753319713644638208 767299110:753317518748610561 3228324979:753315050446782464 2942133731:753311366694465536 3124062972:753307283199758336 3335318453:753305484724142080 1235008866:753299594612727808 1087996580:753299062988742656
753232551381233664	https://t.co/rjYN1y4Pcl	572247840:753516577144737793 529670689:753422311198425088 2234089099:753390155143127040 743550732:753324549119307776 767299110:753317583315664896 3228324979:753315083422490624 3365640994:753296808323981312 76722268:753295880795684864 3101537813:753285163677868034 2942133731:753276127079239681 2290171064:753273338470989828 32881153:753260234710417408 562419094:753260021144838145 3124062972:753258098765205504 3424093871:753249067086573568 3959357003:753243842468540416
753221443136073729	https://t.co/c32USrHZzI	
753172586213830656	https://t.co/mBm42bXKcr	572247840:753516597931716608 529670689:753422334162337792 589734144:753403090896769024 2234089099:753390123241263104 767299110:753317600373968898 2942133731:753276339524890624 2290171064:753273364312100864 3124062972:753257969442316289 1042054646:753252919848284160 3424093871:753248925461733376 2996194120:753248894327271424 1249397005:753240311443447808 4695333397:753239973004976128 715742670:753238705607938048 399340743:753236513895292928 4763112558:753226797362192384 1516474021:753217177038323712
752983325871050752	https://t.co/qyPn253NfX	
752849275894235136	https://t.co/IzLMoDLfEG	572247840:753516631637102593 529670689:753422370430476288 3424093871:753249132123451396 4763112558:753226841830240256 76722268:753193272382722048 841578654:753185524282687488 1372246411:753172029247979520 3253889758:753171368074674176 2891919313:753129431246528514 2420554851:753124820997533696 3320595123:753045242937503744 3124062972:752938998495080448 2942133731:752931172494274560 32881153:752931090646654976 2956632454:752921859897888768 2581598035:752921220559966208 3228324979:752911026690068480 4778442072:752897337727459328 3426035050:752890797897441280
752845000514367488	https://t.co/Gu12GvE05g	
752822679988764672	https://t.co/36Beo4B3Ry	572247840:753516673362071552 529670689:753422410624409600 2290171064:753273417470738432 3424093871:753248907463888903 4763112558:753226863942574081 76722268:753193284810510336 743550732:753184166972383232 3470977333:753149991942750208 2891919313:753129462384951296 3320595123:753045365029498881 3022342436:753005802428862464 2226604789:752957844849393665 3124062972:752938871755857925 2942133731:752931206711377920 70440420:752916066494472193 3228324979:752911247516008448 4778442072:752897188905127940 3426035050:752890883616411648 3207938213:752865711761031168 3342701655:752863999948193792
752761607814520832	https://t.co/K74mvYmfBO	
752761366344298496	https://t.co/WhgNrFHSzU	572247840:753516696229453824 2290171064:753273438492618752 3424093871:753248943765614592 4763112558:753226889334890496 76722268:753193310269898752 2891919313:753129326946770944 3320595123:753045415386374145 3124062972:752938806530236417 2942133731:752931387318104065 70440420:752916051298492416 3228324979:752911308614402048 1524207014:752908929269698560 606751441:752881911148736512 3342701655:752864029102710784 1087996580:752860385200353281 4695333397:752856296819482624
752628017566982144	https://t.co/csbePG7PPS	
