tweet_id	link	retweets
747910163739312128	https://t.co/cR3cqm5PRT	
747829008298029056	https://t.co/AVZXbXsXit	1679545722:749987381936328704 69024888:747897693700235266 2893740851:747885567791226880 3353846553:747884189236731904 4895354641:747860227366649860 4462224621:747854323342807040 998537292:747853981196529664 543597645:747853196509478912 191628891:747852944402419712 2405600349:747848760504492032 720158657732718593:747847992707710976 339127929:747846648164941824 2334231159:747846137424424960 2470189340:747843044221685760 713306562211655680:747842125006528512 69523353:747838607784873985 2543480390:747835006693707777 2778869123:747834468631707648 2654087878:747833888295235584 9695312:747833840530558976
746078656871620608	https://t.co/vP9379zniF	1679545722:749986697430138880 24733314:746612252220981248 2470189340:746158957064970244 2314984628:746146027762159617 552780901:746084892413427712 1702623097:746084698766581760
743899305384284160	https://t.co/ucAoklzzCY	
743525733184708608	https://t.co/outsDDavXw	486105670:751553252198539265 1679545722:749986779797811200 2470189340:743720851917307904 135493977:743617466006372352 117445460:743610863530061824 742884338975440896:743569956671881216 1702623097:743554551110840320 552780901:743553354438221824 19786669:743531422309294080 1563035587:743527754809782273 42975488:743525864491651073
743171365671411714	https://t.co/hZqNDWfIpI	1679545722:749986824609755136 2470189340:743720839787405312 15958855:743193600201211909 552780901:743189410485796864
742821439213035521	https://t.co/5MlhnXqxK9	
742731217846558720	https://t.co/TfMybHDfh4	93196638:742915451693322240 39439717:742868682422947840 2470189340:742810525654863873 69024888:742806606950354944 1217014658:742759348288532480 4889196815:742751379626696704 20705745:742747369901424641 1428876074:742743471925121024 69523353:742736282917478400 191525714:742735054837669888 53461588:742734587655159808 388731865:742733357222617089
741280672568987648	https://t.co/oxrrnERYnD	1679545722:749988744711835648 1936713403:742835544288153600 3012768460:741465258196406273 526626650:741282225967112193 85001239:741281971528032257 3861362835:741281883405856769 383549999:741280904056688640
740568888451158016	https://t.co/Q7WStPAALj	2470189340:740983778693107714 141166721:740664336692084736 388731865:740572112780460032 249820245:740571860975407104
738760345016209408	https://t.co/0jVZc1oU9Q	2470189340:740983796510560256 3861362835:739076357062295552 156639142:738904148213534721 69024888:738813838120869888 235093099:738771490745790464 552780901:738770713365078016 1226130919:738761080059502592
738500614993350656	https://t.co/YeUNj8uvUO	
738384316544212992	https://t.co/ByrXaeKhjx	2470189340:738385231766396928
738106581007630336	https://t.co/K5NEdvbb6Q	1679545722:749988817181020160 2738103383:738317479701794816 739133754:738249035446915072 709461263219294208:738112557412712448 346638740:738111102278635520 4746313295:738107548293816320
738011595645833219	https://t.co/K5NEdvbb6Q	28912098:739076564206399488 3861362835:739076421985939456 347698453:738513363324403713 93196638:738158186524336129 2470189340:738148588371353601 141166721:738123468630167552 207025136:738040357099835392 1702623097:738036992676614144 39439717:738021843815141377 416570987:738016432651423744 417421530:738014776341737473 85001239:738012952263954432
737755152397000704	https://t.co/wUUdfYTqrY	1679545722:749988855927930882 2314984628:738021094725058564 2470189340:737785680068120577 760544600:737769175129563136 30515073:737768626686701568 59541948:737768034279034880 141166721:737758191128190976 416570987:737756885001064448 632007923:737755899142373376 524021145:737755762424832000 42975488:737755515711815680
719964126634721280	https://t.co/AladQEBBSK	490182411:719975132966580226 3787861633:719973721457442824 69024888:719968965481598976 698964805437095936:719964198562766848
717429254259142657	https://t.co/pib80bH1gW	2470189340:718903790338879489 16093761:717976404512620544 1566296941:717910823742480384 972628088:717821743243497472 3773973014:717460304741814272 1630581043:717450934918463488 709461263219294208:717433152310935552 69024888:717431534429450240
715196716102914048	https://t.co/6nhQHgSH37	2470189340:715980390792454144 552780901:715197255578435586
714551631816302592	https://t.co/nclFcqy0cP	
