tweet_id	link	retweets
743551464258342913	https://t.co/Xw0AruhoNm	1070677926:751737102774132736 746849747370184704:747526771248095232 837669235:745408219711840257 3350170258:744545917320167425 2578351908:744071470670831616 3249125692:743693654850600960 3487539914:743668112491352064 65740491:743668062646239232 3161652698:743634964797743104 2168172739:743610413498044416 299262759:743588306559078400 738542247881236480:743562613645156352 715019318:743561565161455616 2848891872:743558508881162240 4366358241:743555957968543744 3237467464:743555593022103552 299152479:743554512850395136
741254489349427201	https://t.co/3RQirJSYTL	94035606:754518489935728640 518072871:753492093033521152 481643029:753285749336788992 4004817496:752892875050975232 442464094:751745116562333697 3412961158:751066126046601217 1326627740:750642435340984321 2726256871:750503090852335616 2719375953:750412500504551425 2273915328:749976771362164736 3077960415:748906614892232704 3306783758:748035190438658048 928027386:745564475558871041 781407235:745394059305422852 628214480:745060081478279168 4893326721:744956576344215553 2513786716:744755066830127104 3249125692:743693645732159488
741099058262081536	https://t.co/L1W6i28F5K	2269766971:754348560368431104 746849747370184704:747526825270775808 837669235:741789531867746304 299262759:741336154243497988 1443919680:741176478214262785 2318869113:741124197817159681 1655491891:741119674486755328 715019318:741106645095190528 356668367:741105874794467328 2181477950:741101776426799105 1237756572:741099588963176448 3510299904:741099394309705728 2833172473:741099137114873856 3053538873:741099132320940032
734711847404855297	https://t.co/ASvAoX3mF7	1146734599:743304068127305729 2157912643:738134386730668033 3005820923:737000874833285120 4183621522:736986226679513088 837669235:734904256247930880 3510299904:734861392210231296 3021593995:734785438083207168 2666904457:734783709623291904 715019318:734763525868916736 1655491891:734743067715117056 1300039758:734739725341364224 143429053:734736820009730048 299262759:734730637660295168 1681529708:734723059014336512 1443919680:734718437176582144 1468505875:734714879202844673
721021107764097024	https://t.co/BQQEJqUxxD	1668892128:755326647851585536 3697510101:755166781938003968 747778408826937344:755140544402161664 874117346:751012991089446912 3437185739:750778088280260608 4048118429:750379909818843136 1683318218:746358779051184132 3321636106:744715591534190592 3230946565:743630742966538241 434943363:743087453762916352 1242391580:742385273057751041 2341964182:742381553939025920 727882512215597056:742372261991063552 406248108:742312070809571328 730032742558273536:742269427895406592 182564262:742194984074498048 701150020691578881:742158289316679681 1112866578:741765399331647488 4592591597:741693993696821248
717668676401512448	https://t.co/rgin4hs3sg	2368492430:749311710775783426 746849747370184704:747526872242749440 3373920861:741662550023102465 185653803:741125675747291136 356668367:741105960962260993 874117346:739937461288247296 2784580311:733160498753986560 359516489:729359808856383488 707931804875890690:728687231024533504 837669235:725961741914374148 805335392:725032023392456705 4183621522:723553254190227456 430964179:720391855402303488 225999098:717761955184947200 434389724:717755858730360832 117514268:717755191802601476 244519781:717726222218883072 3021593995:717722074211454976
712614436838703104	https://t.co/N00m85hQjn	731797617575927808:751835732667498497 299262759:730059057080508417 837669235:715057755862798336 2709327221:714605009586024448 3510299904:713191963286224897 3021593995:713159898817671174 1443919680:712656111267090432 447017272:712636955654139904 1655491891:712619700920852482 2501111502:712617958263099393 572742887:712615316245884928 707007022479368192:712615302656339968 408927959:712614469562732544
