tweet_id	link	retweets
747879680502431745	https://t.co/7K9ZjD0hOy	1210857728:747984106282115073 4398783083:747895208566620160 2371073430:747881914699157504 1075196041:747881680011046913 1594675254:747880044282843136
747492830084403200	https://t.co/6zJrvZOrcD	14202179:748303333190836224 15858535:748302852011880448 87101018:747956482226987013 478858347:747956274063515648 585181698:747511560214437889 3066918832:747499181028171776 3301079158:747494485861425152 1391954390:747494128980721664 4799668220:747494016296460289 1683313316:747493131210285057
747144817927290880	https://t.co/5exmU2fNus	
745718746484899843	https://t.co/EDLE7K3EEF	2943917241:746118380353032193 3035146730:746029017673801728 4260894200:745738183422291968 240092073:745722686484123648 151894508:745719904964382724 547893525:745719216498675712
734843466807529472	https://t.co/jNVtGri0GD	352658683:734980736051085316 345699330:734980665591009282 3066918832:734852340788826113 2943917241:734845519550287873 478858347:734845131120087040
731209038466179073	https://t.co/Ik3RCZVVNr	1683313316:748310118471602176 703980917669253120:747882107150622720 717697789:736817004422660101 3232185469:735445881160228864 832257439:733270992961691648 191668848:732926751173545985 3195568653:732218140445310976 857267743:731654225697095680 345699330:731293697292165120 3035146730:731243350414626817 2910503143:731236326448619520 3167673235:731228558807310336 4668792732:731218957416325120 352658683:731218572148494336 2414985524:731218160003600384 1097764832:731217173734031361 266988542:731215216617213953 363486677:731214229332615168 1511906713:731213359731904512 2943917241:731213343063572480
728280762974232576	https://t.co/SdW3dmSwaQ	191668848:732926456183947264 3312162423:728399005160493057 3066918832:728367105498718209 1210857728:728284159811137536 500738837:728281666981072896
725445100298342400	https://t.co/4gwHkfyfhQ	392446374:748520850182254593 832257439:733271149195362305 533652691:732018866835066880 3312162423:725856904430424064 237954129:725506846245687299 29812570:725505286849585152 476514711:725494833121370112 112459636:725485053237706756 1972616310:725481166401208320 179119727:725481111128690688 230293128:725480537846996992 83190948:725480477390462978 1075196041:725480435568893952 352418306:725479483608825860 232051544:725478994993405952 348795539:725475766838894592 1727690646:725473749416312832 58883414:725467923599388673 3066918832:725463389288337408
724722910015840256	https://t.co/GM1jAHfqtE	499210985:725726777071538176 10416:725724131321253892 3185677657:724796388941389824 3066918832:724736657245663233 156135386:724732412043747329 179119727:724725435246870529 415152285:724724501255065601 697839441549914114:724722974318800896
724693753944903680	https://t.co/cbpqh9rHmA	3066918832:724736823331676160 2223854233:724706914542608385 1391954390:724702397382168576 53352039:724700417150451712 1727690646:724698356551798785 266988542:724694960637808640 281819553:724694219399434240
723290142270595072	https://t.co/XetlsYpYM3	3195568653:724388667956027392 224425534:723942776602124288 519679462:723458899580432385 1059291583:723382702917869569 913582885:723358142348726272 2342268937:723341678468304897 610392284:723329164904960000 496443483:723321157185728513 3066918832:723318328761024516 3185677657:723317189709840384 422233117:723310249361461248 2960169530:723309427462262784 1210857728:723301460822220800 156324964:723298972899663874 3260784727:723298943581319168 2820968245:723297117175861248 224070286:723296758420377600 2468104152:723293593385852928 863910415:723293478491279360
722263709981118464	https://t.co/yqB4FNSCew	
717872400881192960	https://t.co/Do5ltVTfcw	191668848:723291386624135168 3170884851:719326708877369345 2511437916:718124665886089216 3035146730:717948013126164481 381346581:717938802338103296 576624143:717928024428060676 415152285:717906131293581312 3312162423:717892361293066240 238678405:717892106338111488 3066918832:717884710358114307 1727690646:717884271877173248 965269957:717881580551680000 1025942414:717876813230288897 64251271:717874705319989248 267455606:717873115720757249 556498050:717873076709564420 3148546092:717872437501771776
716394571853225984	https://t.co/hARKrFfqGl	703980917669253120:747882380292030464 890118590:722200240179298305 519663772:717304276217888768 2446159425:716744560060268544 3166601523:716740278514761728 3035146730:716671967751856128 476514711:716624324044521472 152694011:716562688319598593 514118733:716499945138749440 3185677657:716469755176091648 422233117:716460790086287361 4184660674:716440501189271553 29812570:716436626528931841 1727690646:716423622961680384 580395434:716416613277241344 2820968245:716406665461956609 2381431716:716406293703950336 58883414:716405013648510976
713416315998851072	https://t.co/nibZxJ1lSM	
712834286164967424	https://t.co/	
