tweet_id	link	retweets
745857254944051201	https://t.co/dUDEuMZHvN	760045596:746750090598031360 3002586422:746591634733694976 4824396919:746105863920771072 785651394:745884849085550596 549101316:745870816517185536 127198231:745869539250929664 1037822568:745865628213477376 3460591696:745857306299080704
744778233657229312	https://t.co/nCmqfsneQs	703988179024490496:744815986931466240 2218271041:744809402255892480 291992061:744780416440111104 4485466818:744778461189804032
744661587785449472	https://t.co/GzEB	
744262988811509760	https://t.co/ykOR7Or9pY	2271698953:755350287271940096 492507636:754425519572070400 1338437971:745058628357414916 382838302:744827180706848769 2449242858:744753382796099584 165257854:744663327465320448 1049329802:744661637785845761 164094312:744661033059377152 700455541525626880:744652921531412481 317913314:744643466114772993 3129763425:744601433929031680 351190145:744594771348430848 1040290489:744577533191004161 159807526:744573183303507968 878769870:744544328601722880 558690217:744537742344863744 3696741377:744537162088067072 1041858672:744535768996122624
743962767539855360	https://t.co/W	
743612841500909568	https://t.co/toiD0CHxZJ	
743324907933569028	https://t.co/NovW81i1dt	
742991121022910464	https://t.co/AjS3AAbYdW	
742253094403117057	https://t.co	
741407278385897475	https://t.co/NCpv8e9IeW	
740791160390754304	https://t.co/1HPAZfvhpE	2928824962:740930733326356481 1612461588:740882967338192896 2350820810:740848470471237632 729355978471137282:740816151228362752 503445349:740814508189470721 1214069923:740805753284497408 549101316:740794316189237248 1553018041:740793567967383552 575339301:740792947248107522 703988179024490496:740791467027861505
739271896852664322	https://t.co/Ro686WleKq	296663182:741680276334645248 2285066178:739592035359809537 2414561076:739552969457291264 3460591696:739361308265619456 139439526:739329372339867648 338994176:739315548404621312 229008013:739313554877259776 254476416:739305336432009216 4485466818:739303904538546177 115891319:739294556152172544 2545283606:739283108676018178 19261408:739273551325192192 489295582:739272859512504320 1553018041:739272726863446017
737908473585893376	https://t.co/OtkzKeekY4	741697758055272453:744509908419223552 740261804:737914445641461760 497069877:737913869578960901
736304813210636288	https://t.co/BksPo0vQbR	739170292816216064:741867317710065665 246595457:740283507704877056 217412100:736822139567902720 3490617375:736624455556993025 1077817374:736552819818274821 475385993:736532354978750464 197727571:736493678710132736 154554014:736488175980425216 460598184:736476908758700033 2755659917:736465545659310080 1030262646:736465149830279168 728217889858166786:736459875731931137 721639535780737024:736432346954641408 2201649657:736413732964839425 623422557:736409310528339969 2814118808:736408995548663809 447900183:736401390415818753 33054840:736401028149452802
735761781612675073	https://t.co/LGSzp2CbwW	634049351:738055096974483457 60743165:737102895536033792 2749640741:736034114042613760 3876644894:735988310498103299 31747090:735890034151165956 36418498:735879244191043586 41731164:735801583624015873 3203158203:735800887906471936 1367615761:735799101695086593 124525798:735792596858081280 2658344618:735785188668510208 563527930:735777602019856384 2194995480:735772962503032832 157137102:735769700764786688 190579609:735765422067175424 3299976931:735764858310778880
735295374001242114	https://t.co/bGXFqsqIcI	
735023757757059074	https://t.co/9v3LGjJN6I	
734840239177355264	https://t.co/TmlsjpEfmX	
734488895300198400	https://t.co/WsgLDcczai	
733433729926848513	https://t.co/r7ODAeaTg7	743451292534714368:743530471053729792 2393808145:735014510918963200 3257607512:734197768877539330 511550964:733954394375360512 1582317943:733888766784344064 2414561076:733774621196079104 2752133316:733761900408909824 242285150:733745819615125507 613357137:733670088197427202 289938283:733632144019476480 538482667:733631494774722560 3236368993:733629744575569920 551763515:733589491911249920 404383445:733574617718132737 362908916:733541322921889792 44466914:733539408838688772 703988179024490496:733527555894960128 3133175019:733521011333718017 108004035:733516073228587008 4485466818:733497847052541952
733169632073289730	https://t.co/ol7xLsobLo	1453137438:736335154226987009 3456127703:733314061824339969 279961336:733252231089115136 2259884257:733211231851450368 229008013:733210391086571520 208393945:733201814007382016 62490202:733198327441842176 2253711087:733197910175801344 108640227:733187723020767232 1191717684:733187047884652544 1510327038:733184174337589249 108004035:733178868484345857 288145556:733177243459977216 2299485920:733176329869234176 703988179024490496:733174640965640193 4485466818:733169834855276544
732705851027259392	https://t.co/VNrqD0IDox	
730283311382204418	https://t.co/31bIHSybNr	729355978471137282:730333995091644417 722886987720429568:730321301143846912 703988179024490496:730316268750831616 548137763:730288447081041920 3431464325:730284441126449152 108004035:730284411355312128
729987197017841664	https://t.co/wv7z7BWglR	
729037117066612736	https://t.co/pLmF98CiaW	2782127953:729452894802448384 3379656911:729344160524845056 59158898:729322323573100544 2585010450:729138683870216192 703988179024490496:729128438016008193 2332789278:729106111672934400 1598013830:729091777521549312 712361627740413953:729060097440272384 2414561076:729055635023794177 2538833049:729039375447756800 338617304:729038931682066433 521271654:729038613443391488 2885601732:729037543904174080 705388136667422720:729037329504030724 3460591696:729037146238128130
728080904279580672	https://t.co/mQTerqMuXN	
727724489010720771	https://t.co/mvC1zVdZF8	
724322107832696833	https://t.co/SA1ofMEX4D	
724320779236569089	https://t.co/9aXRTsUTEW	1285766304:724466195383070720 2182582799:724464260974284801 515270060:724447434789781504 49157283:724445447662620674 706989309589463040:724374473512620032 288145556:724358483647193090 3844009453:724356743447203841 4109421974:724355533524738048 724328171005317120:724355110982156289 202459663:724352887057428481 242285150:724349722446557185 234658901:724348506199072769 151810445:724346685061652480 99002197:724345006115397632 1040290489:724335328320978945 4485466818:724334364276887552 1900554169:724332933671084033 1632275485:724331360333123584
724106548193038337	https://t.co/G2rNZO26Xr	
723009934632198144	https://t.co/2cxkolIDNE	
722313344477048832	https://t.co/16UCzOqdor	4485466818:722370153707483136 108004035:722315712031694848 3460591696:722315519307694080
720776340618629120	https://t.co/wLwBl1QJD6	
718702388417159168	https://t.co/vkjrW	
717533898809290754	https://t.co/AYia7nNrwe	
716126236825620480	https://t.co/MQjrmPNvjF	423557782:716181175186890752 3096410256:716170299629182976 3715692820:716164043833217024 139439526:716161443851165697 287578852:716151427668832257 1151134338:716147645769781250 359795275:716145484809834497 3460591696:716142839470628864 3258491617:716141516436086784 4824396919:716140851164872704 33422224:716140714548191232 3133175019:716138654310203393 229008013:716136824247336960 445748418:716128776581726208 4897068629:716128329162686464 4485466818:716126581907804160 3007900692:716126318551650304
713696394591080448	https://t.co/kdxCsZCQmA	
713150044946309121	https://t.co/PFuTWBhbmF	1632758761:713196556715892736 2662496108:713178167062560768 703988179024490496:713160610230312962 961500475:713155185732927488 203042959:713153635534790656
712977605801029638	https://t.co/5p0y0y1mBl	
